id,ClassId
661,12
4477,2
1046,2
631,7
6533,3
2899,25
1941,38
5749,2
588,1
1333,1
5826,11
7493,10
4306,4
3429,12
1191,10
4076,25
1601,22
2183,4
4214,1
5366,24
5434,2
6709,1
2421,38
4247,14
5722,10
1115,11
1730,11
6673,9
156,25
2011,1
4416,38
4661,5
6511,1
4411,35
821,17
6246,7
3934,3
5711,38
3233,18
3738,25
4561,12
3780,12
6288,16
3115,13
7155,5
7603,38
1932,13
6387,1
6001,11
4376,11
2393,17
5025,12
660,39
7634,11
1978,38
2398,7
2826,10
2679,25
1466,13
1953,12
3887,14
5681,9
2945,38
2481,13
6552,38
6096,10
1969,2
5544,25
133,1
2313,1
5148,3
3875,10
1050,1
960,5
721,3
2129,34
6395,1
4106,6
1809,5
1882,10
6491,10
7103,32
2490,12
2810,12
3378,31
2922,4
269,3
4468,11
1162,13
6523,4
2106,2
5505,14
3292,4
6605,34
3836,11
1188,2
5752,11
2627,4
3829,2
3616,2
1085,18
214,30
5685,25
5261,25
879,38
4070,38
5183,2
459,5
5777,10
4532,2
3973,2
6037,8
2278,4
2687,38
1388,35
6664,25
966,26
731,4
1808,5
7703,11
5302,10
5622,17
2637,33
5146,18
3617,9
5720,1
5260,12
7490,6
2428,3
7268,18
6915,14
5690,30
6363,11
3527,13
4800,5
1167,4
3993,8
93,3
7816,12
1116,12
6634,38
6411,35
6616,26
6299,11
1866,18
7400,2
4527,38
1528,5
7801,2
218,30
3487,30
6009,5
1686,31
4248,2
5258,25
3236,5
5489,38
6993,39
6925,12
3221,35
7668,8
4051,18
4200,1
5321,38
5835,38
3305,9
5628,25
7121,18
7601,23
4013,11
540,1
4568,10
2281,7
4550,4
4308,18
3768,13
7774,8
6198,1
7717,2
6145,13
3301,12
2139,2
3702,2
1794,2
4460,2
4301,17
4590,5
6147,33
1410,3
6090,12
3237,2
1934,4
4274,4
2560,1
7450,17
3150,25
1019,13
5798,10
6563,3
4595,33
4179,12
7684,2
7329,3
4963,1
246,38
4914,1
1107,13
4038,3
1278,11
6366,1
1681,33
5522,4
7700,11
5959,12
6868,10
1395,11
6115,9
5638,9
6055,9
3373,26
1993,10
2383,2
4570,1
6988,13
5950,2
3783,17
7571,2
7102,13
6711,1
49,38
4062,3
1408,38
7191,14
5324,25
2777,9
5374,5
3084,3
1146,2
257,18
2682,2
4973,2
2172,10
761,10
6817,10
689,17
655,18
4029,29
6140,8
5571,8
1468,1
3522,2
3076,10
4412,13
335,25
6146,38
4519,2
2025,2
2921,12
5526,14
4988,13
4856,38
3120,10
3100,11
1049,4
2537,7
3269,11
3954,2
5192,25
7577,38
1393,11
4699,9
4128,12
3752,18
598,38
7110,12
6289,38
3026,25
2047,11
871,9
150,2
1053,1
271,7
2900,4
6989,25
4658,12
4309,10
4122,17
908,3
5157,38
6448,12
6092,14
3695,12
853,5
7369,11
3230,7
1226,4
5673,25
4167,1
3576,18
4110,7
5182,35
1465,38
2425,7
7676,20
1944,26
6992,29
5129,8
5398,2
6936,38
1745,3
3050,12
1074,12
3553,1
1148,4
129,5
5801,2
2423,10
896,3
7611,35
276,7
7596,38
2063,23
4520,8
2834,1
3610,25
7808,13
1719,2
3252,4
2364,12
1420,10
3079,12
1632,35
1108,1
1297,1
503,12
2722,13
6942,9
3663,10
7307,25
37,8
4774,5
3764,9
6719,20
2968,4
6286,10
2178,5
5886,3
920,13
2157,12
4627,3
4576,17
3168,9
2014,13
5423,2
7772,10
1284,13
2124,25
4134,12
3475,13
1999,1
3501,12
1772,25
1032,17
7541,1
1149,7
1322,26
189,11
1718,1
5724,7
4778,12
4773,1
1181,38
1853,6
6878,38
7447,9
94,18
4993,10
6666,10
970,1
5732,11
726,5
5735,25
44,9
6996,2
1506,6
5384,25
3855,17
3714,14
1773,2
2774,2
5862,2
3719,2
4298,10
250,25
2535,11
4404,21
6869,2
2568,2
7499,25
2275,11
4560,7
6808,10
6949,2
6967,9
3925,27
1305,5
1505,1
3689,4
6609,1
607,17
233,12
1090,7
5300,18
2648,3
2756,38
1469,3
3254,21
4382,38
4077,4
6979,10
7483,1
7157,1
4504,13
4711,12
3524,4
7542,9
6663,2
5757,1
4232,13
6637,1
4408,1
3056,10
3136,38
5878,2
3421,1
3118,4
2773,10
2974,2
3781,10
2467,1
644,14
4429,23
858,25
4385,11
3436,11
7651,11
7024,11
1519,7
1059,3
7715,12
1587,12
3451,9
95,18
860,26
4866,33
543,13
119,10
392,35
1665,2
1372,18
3711,5
7044,36
1320,25
7785,14
5084,13
3141,11
4321,11
1716,25
6133,40
4108,12
4188,7
4757,35
4715,5
4185,1
3329,13
4486,26
6409,1
2656,5
446,2
4897,27
6961,11
5601,12
2835,40
89,38
1936,18
6449,11
3970,11
6352,1
6460,7
7477,1
3461,12
3046,34
6308,38
2811,25
602,2
5949,13
6101,36
3209,15
1947,25
290,17
5373,5
4883,11
733,35
5124,11
6057,30
7343,25
670,1
5193,18
1793,10
3932,11
3401,13
3569,18
6631,26
4551,38
1346,12
4055,5
4569,9
3469,10
7319,9
3612,38
5457,8
7220,9
5967,13
2376,12
4854,1
2187,12
1212,17
5552,5
500,9
7264,2
7724,10
3231,25
1411,13
5890,2
448,8
5431,10
1523,5
4088,17
5965,3
7391,9
5653,2
4037,12
642,38
2915,2
7271,33
7205,7
3971,2
2860,18
210,2
1588,7
185,10
5942,10
1687,13
2422,39
7452,7
5774,12
7569,13
454,2
5067,2
5649,14
1307,1
30,1
4244,9
159,2
6927,1
2488,38
4783,12
7020,38
6558,3
1424,26
5793,25
4271,5
6976,4
4476,4
863,1
3901,15
3002,10
4743,10
499,5
4030,13
5556,9
5932,1
4791,12
4153,7
5166,8
3811,9
2237,33
5768,31
5843,8
5609,1
4444,1
6335,10
3222,38
3682,12
5289,35
4323,28
4120,3
7126,1
6047,12
5623,12
5657,38
6948,10
3243,25
2026,2
1111,21
4317,4
7648,5
4240,13
6027,2
3496,1
7449,13
1061,10
4782,35
3163,3
6826,18
6105,6
5716,10
5993,9
3042,10
5227,41
475,2
728,12
6502,26
1497,10
4923,18
547,1
6163,11
4815,4
7081,11
1478,1
3392,10
1370,5
3409,38
348,2
2825,7
1013,4
6632,35
3239,5
3096,9
1375,10
6568,1
2037,25
6613,8
3825,13
6882,35
6252,1
6005,2
366,35
5734,2
3242,7
2605,5
2717,5
6442,11
7013,2
4499,1
4835,2
5931,13
7381,10
3408,8
3302,25
2838,17
262,14
5131,1
3155,25
2464,35
7775,5
4160,11
6642,31
3156,10
443,10
6405,26
3821,26
1486,38
7435,12
1091,2
3341,10
1348,9
2092,7
6797,10
6370,10
7512,38
787,2
6946,13
3625,9
5464,10
1172,18
2764,4
6969,12
5189,25
3762,12
3545,2
2976,29
7375,8
3135,5
3716,35
3604,31
6102,2
2653,5
7291,1
4881,38
6965,26
6416,10
7661,2
2260,13
6428,2
3226,2
64,9
678,17
5499,25
4495,4
1816,33
2373,11
1801,2
5636,38
7654,9
6036,4
3427,25
5470,31
5688,9
6588,11
1593,11
4148,10
561,4
2855,8
7767,4
7776,2
5090,7
6785,35
1112,5
6221,34
154,4
2367,12
5733,41
5756,8
4754,28
409,25
6279,17
846,18
3175,25
4597,31
3173,3
7027,14
1301,12
5133,14
1894,9
5091,12
7149,10
4553,1
7555,25
2684,4
1048,17
552,9
488,30
6082,3
7551,17
7798,17
6325,7
3653,25
3316,13
57,38
3529,10
5158,10
864,25
7348,10
340,12
5542,11
3339,1
7315,2
4455,25
3799,7
4642,5
628,17
6006,12
4310,4
4750,12
425,18
4502,13
6058,1
2862,5
4333,1
3102,13
4714,4
3028,3
5913,14
1704,1
6113,1
611,12
7669,12
3500,7
4340,13
802,11
2547,25
2388,19
1201,23
4940,17
3504,12
103,25
6322,40
5600,2
7289,31
7037,5
1921,11
3190,11
805,2
4670,12
1219,8
590,10
6103,7
7374,3
6374,35
4981,17
1102,1
4674,19
4371,13
7350,13
1685,35
5459,1
3904,25
7279,13
1286,36
6777,10
4002,1
6651,18
6966,2
7413,26
1851,4
5093,1
3828,31
1480,25
4864,17
1464,5
4482,5
2426,13
994,2
1885,18
6791,7
7061,25
1654,12
7188,18
7666,1
6195,8
799,1
3990,9
3866,2
827,12
2229,2
4074,38
3732,3
718,18
4025,11
4393,10
6194,13
2937,13
7752,38
5918,10
2791,4
5568,2
6329,38
2528,2
42,13
423,3
6960,1
6559,4
199,4
7398,7
3450,13
7731,12
511,31
5486,23
7548,10
6899,1
3104,18
2521,11
3318,17
5516,2
3279,5
4398,2
2020,7
880,12
1211,28
3643,13
571,25
3040,9
4184,25
2864,38
6157,10
5472,25
606,8
4426,30
3142,16
6454,26
3871,12
725,22
2577,25
295,7
7001,1
4100,17
6357,18
7003,4
1981,10
2538,5
7825,10
1081,2
457,13
258,18
3578,1
1555,39
5532,12
157,38
1017,1
3064,2
7559,26
4917,5
2358,17
6620,40
3801,7
6208,12
5407,17
3765,31
2195,2
5266,20
2127,2
3850,25
4985,8
7837,18
4734,2
1335,13
3959,18
4727,1
2795,12
7766,25
972,13
4103,5
7052,28
7393,3
7600,22
3225,8
559,33
6097,11
3215,35
5665,12
1265,17
4953,4
6879,2
2053,4
2767,37
208,12
1911,5
1522,8
2848,11
3769,10
3265,1
653,4
5701,18
5629,10
5726,35
2602,25
2844,11
3317,3
1621,8
1084,2
2034,28
5534,13
1179,21
5620,13
6652,31
3984,17
2295,8
703,3
5759,13
3806,9
1917,33
1508,5
480,8
6377,10
2005,17
5037,12
3205,10
558,2
3704,8
1031,13
421,4
4779,8
7175,20
3839,1
7245,13
5804,5
2283,25
3452,31
114,1
1990,38
7063,2
6951,35
3599,25
4318,1
1316,2
5763,2
4831,12
2872,17
3615,7
3137,15
7360,9
1124,23
4034,10
7694,7
6173,3
2078,5
3570,10
1984,12
2149,11
6534,5
3361,34
3941,11
7618,10
4947,1
991,7
4677,38
7183,12
5033,12
2748,1
7388,38
7549,1
1827,2
20,34
4285,12
3364,38
3774,17
4563,31
3391,8
6602,7
5492,5
2916,2
1694,13
3923,11
7341,1
7444,8
3785,10
3127,2
5408,8
2985,11
7560,25
1339,35
5224,4
296,12
3558,11
3484,1
1566,2
3116,2
4151,1
6189,38
4621,38
3849,1
1097,25
7664,7
4336,12
6258,38
763,38
5055,38
5771,4
7028,2
2831,2
2142,10
693,2
5507,10
4939,1
4415,3
5528,3
1488,26
2262,12
336,5
407,38
6682,38
3712,10
1044,12
3048,5
4467,11
4494,10
3912,12
1586,7
5910,12
2530,25
6380,13
2046,23
4738,8
5919,8
5401,1
7379,2
6445,9
3270,11
6,10
439,2
351,14
828,11
883,10
5424,35
2735,26
3472,2
1040,1
2940,5
4972,18
5559,2
5674,25
5696,11
7518,10
6805,26
248,38
7250,12
2799,35
1443,9
2254,25
3921,2
7049,4
4753,12
1645,13
6931,4
91,25
2691,9
6323,38
155,12
6441,2
4474,28
1451,12
7587,10
6073,5
7046,4
142,1
7615,10
7062,31
420,35
5508,5
1199,38
3594,13
6755,38
6950,10
4770,30
4645,19
7373,10
6840,9
432,4
484,1
3709,38
3387,25
4720,8
2314,18
777,13
410,9
5106,11
4174,12
5081,31
984,38
179,10
3750,1
7500,11
5162,34
3571,35
2640,17
4513,7
1292,1
7469,5
692,11
2689,38
4710,2
7210,8
5747,10
3384,38
2412,2
5071,25
6829,8
3948,8
7231,13
7417,35
6328,5
3199,25
7667,38
